clip,sharpness,temporal_difference,temporal_acceleration,motion_magnitude
clean_translation,566.40625,3.90625,7.8125,0.38643836975097656
flicker,538.7939453125,46.11083984375,91.4013671875,0.296875
jitter,566.40625,6.427556991577148,12.9736328125,0.6198105432770469
blur,5.1419676542282104,2.5611379146575928,2.4202072620391846,0.5137293528426777
