frame_idx,exhaustive_psnr,exhaustive_mse,exhaustive_time_s,hierarchical_psnr,hierarchical_mse,hierarchical_time_s
1,inf,0.0,0.01450379192829132,22.91901400465467,332.03125,0.002984625054523349
2,inf,0.0,0.015025208005681634,23.762222861655033,273.4375,0.0029356249142438173
3,inf,0.0,0.015500917099416256,24.001344435709147,258.7890625,0.002885374939069152
4,inf,0.0,0.014896833105012774,26.772522818294846,136.71875,0.0028015831485390663
5,inf,0.0,0.014914582949131727,29.782822774934658,68.359375,0.0030526660848408937
